epoch,val_mae,val_rmse
0,526.6559954261779,1032.986709562215
1,10.840319684743882,13.180001858063353
2,14.508470427989959,17.93626549976772
3,42.73288637161255,130.1739640768412
4,72.43065622329712,207.6098108745063
5,24.24027183532715,45.68119834329047
6,19.080318813323974,34.31973916094893
7,10.927824700027704,13.688763954103608
8,10.18815435886383,12.484984121374701
9,126.2702823638916,282.1772477082163
10,12.031653017401695,15.524792645626436
11,365.82122396469117,1569.9236160241558
12,51.39031407356262,170.95873794368921
13,23.285024147033692,59.05182036184032
14,108.30482089042664,655.861344229332
15,11.472653805948793,15.075337899199925
16,10.320604621767998,13.139555763892146
17,1043.2240140533447,2468.174158635094
18,1606.1067245483398,3755.3060884386414
19,20.171208448410034,45.12538596725512
20,10.82725857257843,12.320149825119456
21,119.53814483642579,338.8496034930987
22,75.25462490081787,196.40391788367413
23,623.8475930786133,1872.7468614521488
24,67.63598315238953,159.34321066543478
25,51.34598677635193,118.4030979120266
26,64.59419317245484,150.47604526013467
27,89.92782564163208,242.8549626422721
28,60.753347339630125,128.2934873340842
29,11.220028787851334,13.463941734951964
30,23.434370522499083,44.66242220866752
31,11.505849750041962,14.431056193065569
32,15.495594804286958,26.27566927238848
33,10.120378079265356,12.536344107787157
34,31.823987951278685,76.22062228465171
35,35.99857389450073,87.33171621337706
36,11.28701943397522,14.446897551688043
37,13.436048097610474,19.56685374013084
38,10.875555576086045,13.46491668046541
39,11.518756715208292,14.482277860727114
40,29.69337562561035,71.36726360292086
41,10.798959753513337,13.04476743734694
42,11.138563721179962,13.745243440430567
43,11.137575476169586,13.793489849016947
44,10.82637093424797,13.14933677324884
45,10.981894015073776,13.595753666849369
46,10.872183943986892,13.22891461951077
47,12.440625260472297,18.02615955622239
48,11.467604683041573,14.519862456090582
49,12.50496148109436,20.41113108700733
50,10.8266215133667,13.582339446020532
51,20.82566528081894,43.87468202963648
52,10.921688714027404,13.569262439086726
53,10.5626187081635,13.330535117329976
54,10.792620306015015,12.428328888307663
55,3992.386471271515,6661.668148441806
56,604.1652628231049,1132.5911626321335
57,89.84455157279969,214.88888477831676
58,197.5648247241974,507.44948207931895
59,55.20629716873169,160.06521301248313
60,121.20395223617554,190.67457833636985
61,33.309511785507205,61.823858562092056
62,417.4185229182243,888.0817017771777
63,10.802662837505341,13.448349295902373
