epoch,val_mae,val_rmse
0,15.261401577367797,19.194593141619993
1,98.77179599285125,198.9120189555698
2,28.927962572574614,58.113693556016734
3,12.005067265480756,15.706587109713624
4,14.791196402972565,18.88906717382372
5,14.133637491902336,19.1091120138299
6,28.004422788619994,50.09003626575467
7,19.10011131286621,23.12986236276787
8,14.3548629715899,18.40553275283548
9,20.143909034729003,39.59854749954596
10,9.381240988373756,11.984285236808958
11,12.249360333681107,14.773254234090446
12,9.632621909379958,12.07663091505864
13,25.552520656585692,48.74806447493617
14,18.365915835648774,27.080967077610044
15,13.928462297916413,20.656574170198184
16,10.30846026301384,12.802470302481327
17,11.130617225691676,16.06684062133555
18,12.604664716720581,15.611433892351602
19,9.270729215741158,11.648692605159452
20,13.943180540800094,16.26806921180159
21,22.690914542675017,43.75557919484733
22,10.12031098306179,12.870986070073732
23,10.319593611061572,13.108189674737975
24,8.432067773453891,11.101574181902464
25,9.716406212747097,12.300538402236445
26,11.809764490127563,15.276283679896592
27,12.391315796971321,16.494155345478234
28,12.376390334367752,15.37204869862349
29,11.050013635456562,13.701270894330165
30,10.44021867454052,13.068285758310353
31,12.869196987748147,15.472813934696394
32,10.97248638741672,14.661615860167258
33,14.324305033683777,17.493240912104262
34,11.305851477384568,15.453466640398268
35,12.770467381477356,16.940761997987348
36,10.342236620783806,12.926621835082328
37,9.572920789271594,12.300015581874923
38,10.6339043790102,13.279220336547178
39,11.712825090885163,14.800538272356613
40,12.311698739528657,18.50629044499223
41,11.509522578716279,14.428566146012653
42,11.074963349327446,13.848568946581427
43,10.777448758520187,13.273075928414874
44,14.515463516712188,19.986926556807475
45,10.594163283407688,13.31047282102457
46,10.817914763092995,13.396561156432838
47,10.780008109807968,13.353157040812018
48,10.880328314304352,13.836676305617729
49,11.246395062506199,13.89320537347999
50,10.09314507625997,12.140484385713112
51,51.64232221841812,76.39142795645063
52,15.628443031918723,19.663777923401586
53,11.027722225189208,13.095027702845355
54,11.08003491640091,14.40049369923304
55,10.913217033147811,12.842979133733415
56,10.18601375579834,11.92833942715646
57,9.979003769159316,11.571679349648877
58,10.496372246742249,13.083267265636962
59,10.449041957855224,12.641426330906102
60,10.190143022537232,11.86375109001074
61,11.869435089081525,13.927199194807216
62,10.712809810638428,12.306353414049358
63,11.409322872161866,13.628018802696044
64,10.905082845687867,12.770020105071909
65,9.971539497375488,11.677228573873395
66,10.898386383056641,12.72820150812158
67,9.768045167922974,11.507558710277136
68,10.138528909683227,11.631774314628188
69,8.922692787647247,10.90763640101122
70,10.15022371172905,12.559601845912914
71,9.738918733596801,11.244861312239982
72,9.611288981437683,11.362319618379686
73,9.659950959682465,12.295153708486541
74,9.0069988822937,10.731061600298357
75,9.685702085494995,11.353257441832445
76,9.825336244106293,11.569844317325739
77,9.517390146255494,10.936885790901073
78,9.534115648269653,11.10475442271039
79,9.383503341674805,11.199179006893639
80,9.581262655258179,11.425874533635174
81,10.204220886230468,11.649541531843358
82,10.187497396469116,11.815951568557733
83,9.506000907421113,11.298326150102477
84,9.768276677131652,11.507305528597652
85,9.823990826606751,11.667505138236141
86,11.014525537490846,13.52341589246732
87,9.81400788784027,11.13933870306242
88,10.918164920806884,12.829001113430678
89,11.19821760892868,13.301065159396646
90,11.058166313171387,13.370901243714162
91,9.794446579664946,12.053116747768362
92,10.785293092727661,12.763733795689713
93,10.45510066986084,12.422142680254524
94,10.820448352396488,13.23084161817548
95,11.229160923957824,13.338038464737988
96,11.292299029305576,13.988603387473818
97,10.625116621665656,12.454580834385276
98,9.641089524626732,11.335071487445274
