epoch,val_mae,val_rmse
0,13.253281626999378,16.48017280128352
1,13.109153807880357,17.47256998430298
2,11.585147830434144,14.222995812193204
3,12.302260140180588,16.252870743754567
4,21.133715057373045,24.9145177047224
5,12.597397184371948,14.718402474521737
6,20.213742542266846,24.450559411288673
7,14.161944744586945,17.28826621733511
8,16.72278907775879,19.24925631644346
9,11.847854439020157,14.093203549674392
10,9.990401659011841,12.33662705866663
11,9.9012184715271,11.428720190427741
12,10.123815759420395,13.239404682604677
13,9.744419746398925,11.536439500533202
14,11.106625762749463,14.94915113663986
15,13.564706172943115,16.24284072391184
16,9.484843537807464,11.150991625989649
17,9.340059393048286,11.82837424466782
18,19.289485473632812,22.37451577121442
19,9.732304492890835,12.413492175601354
20,12.056070832274854,15.5229586462206
21,10.102177317738533,11.991480161346729
22,9.162998456954956,11.251371435348485
23,10.187728452682496,12.007700603670454
24,13.233251752853393,15.57613304485621
25,10.3302604585886,13.478130493665917
26,9.458653974533082,11.646991962589288
27,10.205452392101288,12.49210691975926
28,11.419580059051514,13.444129345889223
29,9.698881909847259,12.05323975867819
30,11.005347547531128,13.024228881167542
31,11.250845670700073,13.659011828117718
32,9.86432722479105,12.897676466882256
33,9.794761345386505,12.180884567982819
34,9.646783306896687,12.48587860049667
35,9.385477125048638,11.961151054056007
36,9.42380635201931,12.155246249226312
37,9.509103046655655,12.275377940469767
38,9.664940404519438,12.789113952339
39,9.820662908554077,12.078688131838756
40,9.86936513364315,12.285950615918864
41,9.89815040409565,12.265597342261607
42,9.877615315914154,12.376696339549603
43,9.43223373055458,11.889758930827394
44,9.805648488998413,12.10812753381462
45,9.793720952272416,12.190187567028397
46,10.08016535282135,12.45412980981973
47,10.032538752555848,12.457311766892653
48,10.169220175743103,12.53197715430731
49,10.003857519626617,12.38973743140653
50,9.879403341412544,13.627129480452279
51,12.392560660243035,15.209611653868308
52,21.043714237213134,23.254051839327524
53,12.638223181664944,15.047254515767062
54,10.287027215957641,12.273350852317101
55,10.730112400054931,12.50403332975075
56,12.434870231747627,16.17745978408105
57,12.329694492816925,16.40844054479362
58,10.090191474556923,12.165608324933773
59,9.886995458602906,11.71055489223075
60,11.776876646131278,15.486485772543082
61,13.18905815601349,24.873067895403796
62,10.592912073135375,12.49248584698715
63,10.365449041724204,13.239621992060856
64,10.541745338439942,12.830569170518611
65,20.038359904289244,36.287002123938805
66,15.339797153472901,18.742435236819354
67,19.52730845451355,39.704179663944096
68,10.233876976966858,13.687057580291789
69,35.04803770303726,87.34360084925005
70,17.50305256843567,36.4892619938746
71,9.105208924263716,11.788603344568662
72,13.595107131416444,17.318491895527817
73,10.656732680350542,14.131870060959454
74,11.967351713478566,14.7050390142762
75,29.932545568943024,70.45304684914814
76,16.83901057213545,32.245577602778766
77,17.5032151222229,19.940137921572347
78,9.888737860806286,12.435892265317923
79,10.12749726753682,12.141790189572168
80,9.301633931696415,11.597243524547851
81,11.313473452329635,13.400405796562199
82,13.31217354297638,16.321921112465883
83,11.742220019027592,14.919372154956717
84,11.361232444047928,16.291177937451014
85,10.75965331286192,13.54186295922649
86,16.78251634085551,46.724991569241084
87,43.268865270614626,125.74779702249279
88,12.213621058658465,15.73925579468678
89,12.877856148472056,16.614361563339543
90,11.536106541752815,14.783693288232605
91,12.34363278388977,17.193942265970144
92,10.725931422114373,13.911331286031546
93,11.223643133305012,14.599595905767684
94,12.509705813862384,15.212146278763944
95,32.336421607732774,95.8599138931927
96,15.604468891471624,25.352642187252027
97,28.007395921573043,76.92912472069378
98,15.712060768157244,31.6005855411847
99,11.052636407315731,14.056022829134474
100,11.595082316547632,16.429840472846074
101,11.62600843667984,15.416517488983516
102,11.705958928437903,15.065889879883947
103,19.09541370525956,40.626464906769506
104,27.248822073936463,70.51211425578354
105,25.532163041979075,83.59658118578093
106,25.73473638638854,82.11326183824887
107,15.403741033673287,24.27599716718006
108,30.45574347496033,114.30908378141235
109,46.19791591361165,160.01028738096005
110,173.35640396386384,591.1123896755034
111,72.55953969299793,294.19875218914626
112,75.56857251524926,253.78548103216824
113,34.36146362617612,114.45541853597007
114,34.29551893293858,111.52813981633555
115,66.07899034529925,224.9127114281803
116,38.74330961227417,137.43481822510793
117,12.966575770378112,16.58907672003414
118,14.680125184059143,17.623697942341053
119,18.864623181819915,42.18225202772422
120,22.50621614456177,56.78208374648648
121,11.85436403274536,15.158875546822134
122,19.527722828388214,52.944674081319064
123,13.068557224273682,17.398347143014806
124,11.698277717232704,14.98611771959717
125,19.205092664361,50.54556440937244
126,34.91688188463449,106.27271442393425
127,16.726391490101815,28.141300593964036
128,18.49418263912201,35.02999015391812
129,13.560399562120438,19.28120848534253
130,19.5577217271924,41.38786032474934
131,12.902997596263885,15.9426257549369
132,29.91951181197539,87.82323542695842
133,24.51842556476593,61.1694124741228
134,28.70526754617691,93.14829654016471
135,16.781454310417175,30.525686864741843
136,23.103227787844954,55.81844154515607
137,16.28518457442522,28.835128937280476
138,14.574785678386688,20.88198106401241
139,15.091117542684078,25.143256827344405
140,14.62642907857895,23.045780806889876
141,15.700633722543717,26.163279092339796
142,13.596397282630205,17.245670287406455
143,17.209267287254335,30.881198673833183
144,13.77672188282013,19.218564522538394
145,15.208548513054847,24.10216739246492
146,17.378185084462167,31.45626950896934
147,22.350613288879394,54.313263727051805
148,16.213448395729063,27.51871731456838
149,15.416542332172394,24.021083358649832
150,83.3655202279333,211.41966161103966
151,10.445745067596436,12.667493089833025
152,12.797138617634774,16.392961841581407
153,72.51850957870484,155.2440219732395
154,36.06643729686737,109.7782711535173
155,103.32371362686158,327.8405121251765
156,94.6250583076477,377.2568973382652
157,428.20796553611757,1092.1120945945893
158,483.55936141759156,975.8606037847726
159,10.78453851699829,13.686116010989789
160,11.300470342636109,13.781687667686436
161,21.384092059135437,49.9029819232894
162,12.176855657731648,14.737155105193851
163,19.03789868116379,33.202365138656184
164,13.62743063531816,23.275659748459862
165,75.28406839847565,214.90465780633096
166,17.98639258146286,34.16041109807018
167,11.544403138812632,14.55690821078531
168,15.442036608159542,21.294506039042687
169,109.34717368610204,251.50672882634075
170,10.501311817169189,12.697277299642506
171,345.25965858578684,751.84002507592
172,108.57515111252665,234.30046068510717
173,53.94362023711204,137.12906724209267
174,39.58808706998825,104.01727794068849
175,11.802799727283418,15.154671910388185
176,39.54723825454712,116.26277091562734
177,22.181843898296357,66.89714220087158
178,15.866852112300695,40.534921996807284
179,67.17187542569823,185.59147188583935
180,27.101939749978484,92.19392277524456
181,33.11833922863006,139.6245459241785
182,10.197479472290725,12.535959975350199
183,21.408982973098755,35.58826167943148
184,72.70235706329346,257.6482270407629
185,21.655797669589518,45.970553663562576
186,33.25528681814671,71.31793697599684
187,11.499979359060525,14.764022396152528
